cell_number,time,RNA_nuc,RNA_cyto,RNA_total
0,0,73,274,347
1,0,31,63,94
2,0,130,306,436
3,0,33,125,158
4,0,100,200,300
5,0,128,185,313
6,0,17,70,87
7,0,81,223,304
8,0,144,429,573
9,0,36,175,211
10,0,61,117,178
11,0,66,334,400
12,0,132,290,422
13,0,154,426,580
14,0,37,216,253
15,0,120,345,465
16,0,50,133,183
17,0,65,230,295
18,0,54,90,144
19,0,34,90,124
20,0,20,61,81
21,0,91,350,441
22,0,89,297,386
23,0,51,183,234
24,0,92,362,454
25,0,112,256,368
26,0,107,379,486
27,0,82,255,337
28,0,47,385,432
29,0,51,82,133
30,0,111,240,351
31,0,81,176,257
32,0,21,123,144
33,0,49,119,168
34,0,32,80,112
35,0,55,85,140
36,0,59,275,334
37,0,12,33,45
38,0,115,268,383
39,0,201,410,611
40,0,66,383,449
41,0,66,243,309
42,0,67,192,259
43,0,92,261,353
44,0,52,61,113
45,0,103,314,417
46,0,123,419,542
47,0,90,318,408
48,0,67,66,133
49,0,12,91,103
50,0,85,206,291
51,0,79,116,195
52,0,28,239,267
53,0,168,372,540
54,0,105,360,465
55,0,48,331,379
56,0,49,82,131
57,0,25,71,96
58,0,52,101,153
59,0,45,224,269
60,0,53,391,444
61,0,27,308,335
62,0,25,157,182
63,0,64,269,333
64,10,143,317,460
65,10,70,236,306
66,10,67,140,207
67,10,186,365,551
68,10,101,182,283
69,10,81,209,290
70,10,47,124,171
71,10,95,224,319
72,10,35,55,90
73,10,114,47,161
74,10,36,86,122
75,10,19,24,43
76,10,38,189,227
77,10,136,420,556
78,10,90,246,336
79,10,40,152,192
80,10,73,202,275
81,10,153,79,232
82,10,44,177,221
83,10,72,122,194
84,10,27,78,105
85,10,129,173,302
86,10,47,105,152
87,10,64,147,211
88,10,79,239,318
89,10,70,245,315
90,10,88,233,321
91,10,78,257,335
92,10,111,163,274
93,10,28,78,106
94,10,0,0,0
95,10,85,222,307
96,10,47,297,344
97,10,7,29,36
98,10,36,37,73
99,10,52,146,198
100,10,46,164,210
101,10,127,186,313
102,10,61,109,170
103,10,154,312,466
104,10,64,100,164
105,10,87,363,450
106,10,60,227,287
107,10,86,255,341
108,10,102,183,285
109,10,116,362,478
110,10,14,88,102
111,10,67,257,324
112,10,54,131,185
113,10,63,157,220
114,10,75,303,378
115,10,124,314,438
116,10,19,122,141
117,10,117,270,387
118,10,16,101,117
119,10,133,249,382
120,10,49,45,94
121,20,178,167,345
122,20,83,332,415
123,20,139,219,358
124,20,79,128,207
125,20,101,149,250
126,20,81,170,251
127,20,142,208,350
128,20,86,184,270
129,20,89,128,217
130,20,91,227,318
131,20,88,139,227
132,20,48,111,159
133,20,159,205,364
134,20,75,158,233
135,20,80,80,160
136,20,152,198,350
137,20,57,77,134
138,20,35,86,121
139,20,59,149,208
140,20,45,201,246
141,20,90,247,337
142,20,134,264,398
143,20,110,203,313
144,20,50,154,204
145,20,138,110,248
146,20,38,139,177
147,20,17,92,109
148,20,59,174,233
149,20,80,168,248
150,20,52,110,162
151,20,58,85,143
152,20,31,63,94
153,20,102,216,318
154,20,85,184,269
155,20,86,235,321
156,20,7,37,44
157,20,83,219,302
158,20,89,109,198
159,20,82,218,300
160,20,100,204,304
161,20,85,108,193
162,20,102,95,197
163,20,129,193,322
164,20,89,191,280
165,20,86,99,185
166,20,63,212,275
167,20,45,84,129
168,20,17,36,53
169,20,70,130,200
170,20,53,188,241
171,20,47,83,130
172,20,89,104,193
173,30,70,158,228
174,30,63,149,212
175,30,13,24,37
176,30,86,290,376
177,30,22,82,104
178,30,126,175,301
179,30,68,114,182
180,30,41,46,87
181,30,163,449,612
182,30,41,106,147
183,30,74,130,204
184,30,91,130,221
185,30,11,6,17
186,30,86,681,767
187,30,98,290,388
188,30,39,91,130
189,30,13,92,105
190,30,79,427,506
191,30,84,178,262
192,30,41,92,133
193,30,8,8,16
194,30,14,17,31
195,30,122,280,402
196,30,125,355,480
197,30,57,104,161
198,30,57,225,282
199,30,46,73,119
200,30,52,44,96
201,30,72,298,370
202,30,195,369,564
203,30,117,280,397
204,30,111,163,274
205,30,27,57,84
206,30,49,122,171
207,30,6,22,28
208,30,0,0,0
209,30,126,347,473
210,30,110,190,300
211,30,49,173,222
212,30,36,138,174
213,30,32,40,72
214,30,66,108,174
215,30,133,673,806
216,30,63,102,165
217,30,119,162,281
218,30,75,152,227
219,30,34,129,163
220,40,68,274,342
221,40,62,271,333
222,40,88,383,471
223,40,110,232,342
224,40,52,53,105
225,40,110,175,285
226,40,135,305,440
227,40,267,463,730
228,40,196,422,618
229,40,135,231,366
230,40,101,273,374
231,40,129,296,425
232,40,197,321,518
233,40,263,521,784
234,40,242,273,515
235,40,213,276,489
236,40,94,246,340
237,40,113,357,470
238,40,112,256,368
239,40,94,355,449
240,40,118,241,359
241,40,188,220,408
242,40,99,122,221
243,40,92,151,243
244,40,124,318,442
245,40,35,151,186
246,40,150,363,513
247,40,108,254,362
248,40,148,133,281
249,40,98,163,261
250,40,2,1,3
251,40,7,15,22
252,40,59,41,100
253,40,11,13,24
254,40,17,33,50
255,40,11,32,43
256,40,2,6,8
257,40,1,71,72
258,40,4,2,6
259,40,4,6,10
260,40,217,516,733
261,40,124,373,497
262,40,130,338,468
263,40,141,255,396
264,40,111,373,484
265,40,154,371,525
266,40,100,214,314
267,40,151,374,525
268,40,112,287,399
269,40,91,221,312
270,40,126,152,278
271,40,69,195,264
272,40,137,445,582
273,40,86,291,377
274,40,203,381,584
275,40,149,539,688
276,40,134,477,611
277,40,156,216,372
278,40,209,172,381
279,50,0,0,0
280,50,173,486,659
281,50,92,301,393
282,50,173,472,645
283,50,84,246,330
284,50,177,381,558
285,50,75,172,247
286,50,14,27,41
287,50,75,58,133
288,50,316,683,999
289,50,23,314,337
290,50,54,86,140
291,50,110,304,414
292,50,54,114,168
293,50,25,10,35
294,50,27,304,331
295,50,71,119,190
296,50,125,395,520
297,50,136,490,626
298,50,45,73,118
299,50,38,98,136
300,50,47,94,141
301,50,150,343,493
302,50,57,96,153
303,50,203,640,843
304,50,99,512,611
305,50,134,338,472
306,50,0,0,0
307,50,88,84,172
308,50,86,212,298
309,50,77,285,362
310,50,103,225,328
311,50,162,235,397
312,50,39,45,84
313,50,169,324,493
314,50,36,140,176
315,50,136,351,487
316,50,104,196,300
317,50,144,209,353
318,50,136,511,647
319,50,171,318,489
320,50,118,356,474
321,50,83,175,258
322,50,101,202,303
323,60,86,333,419
324,60,60,150,210
325,60,56,97,153
326,60,72,93,165
327,60,13,42,55
328,60,11,31,42
329,60,95,330,425
330,60,117,294,411
331,60,102,388,490
332,60,76,142,218
333,60,73,238,311
334,60,21,47,68
335,60,13,27,40
336,60,14,36,50
337,60,119,335,454
338,60,32,126,158
339,60,13,53,66
340,60,1,6,7
341,60,24,212,236
342,60,120,487,607
343,60,113,248,361
344,60,75,124,199
345,60,107,336,443
346,60,113,330,443
347,60,57,309,366
348,60,118,639,757
349,60,35,175,210
350,60,1,3,4
351,60,134,202,336
352,60,49,232,281
353,60,22,34,56
354,60,109,156,265
355,60,113,90,203
356,60,120,288,408
357,60,62,157,219
358,60,115,290,405
359,60,67,205,272
360,60,10,65,75
361,60,68,129,197
362,60,66,259,325
363,60,85,367,452
364,60,117,153,270
365,60,115,232,347
366,60,185,274,459
367,60,0,0,0
368,60,59,132,191
369,60,122,360,482
370,60,145,545,690
371,60,55,126,181
372,60,15,61,76
373,75,77,282,359
374,75,36,147,183
375,75,140,259,399
376,75,231,688,919
377,75,157,365,522
378,75,176,339,515
379,75,137,271,408
380,75,123,399,522
381,75,138,518,656
382,75,168,556,724
383,75,23,50,73
384,75,43,153,196
385,75,291,1045,1336
386,75,128,410,538
387,75,132,746,878
388,75,113,253,366
389,75,187,481,668
390,75,177,346,523
391,75,57,140,197
392,75,185,369,554
393,75,134,226,360
394,75,111,397,508
395,75,183,430,613
396,75,166,270,436
397,75,56,156,212
398,75,192,289,481
399,75,97,263,360
400,75,202,258,460
401,75,207,432,639
402,75,156,353,509
403,75,103,255,358
404,75,94,205,299
405,75,126,245,371
406,75,127,236,363
407,75,80,240,320
408,75,69,294,363
409,75,90,191,281
410,75,87,198,285
411,75,144,238,382
412,75,135,341,476
413,75,136,666,802
414,75,118,111,229
415,75,145,561,706
416,75,142,366,508
417,75,138,456,594
418,75,190,459,649
419,75,129,279,408
420,75,115,272,387
421,75,29,72,101
422,75,157,211,368
423,75,113,130,243
424,75,58,92,150
425,75,61,149,210
426,75,27,132,159
427,75,128,520,648
428,75,55,91,146
429,75,82,261,343
430,75,65,195,260
431,75,92,300,392
432,75,109,263,372
433,75,94,176,270
434,90,135,349,484
435,90,166,195,361
436,90,154,451,605
437,90,89,235,324
438,90,129,197,326
439,90,122,171,293
440,90,0,0,0
441,90,236,525,761
442,90,122,258,380
443,90,149,262,411
444,90,218,466,684
445,90,131,237,368
446,90,171,320,491
447,90,60,126,186
448,90,81,141,222
449,90,58,237,295
450,90,71,128,199
451,90,81,167,248
452,90,114,190,304
453,90,193,311,504
454,90,50,89,139
455,90,150,268,418
456,90,130,313,443
457,90,142,274,416
458,90,164,221,385
459,90,131,189,320
460,90,81,52,133
461,90,128,395,523
462,90,93,269,362
463,90,106,154,260
464,90,93,193,286
465,90,142,364,506
466,90,166,189,355
467,90,84,196,280
468,90,82,135,217
469,90,108,200,308
470,90,70,97,167
471,90,39,157,196
472,120,0,0,0
473,120,51,167,218
474,120,54,179,233
475,120,64,369,433
476,120,146,300,446
477,120,58,151,209
478,120,125,514,639
479,120,41,157,198
480,120,64,307,371
481,120,29,89,118
482,120,10,32,42
483,120,63,311,374
484,120,107,267,374
485,120,40,110,150
486,120,105,269,374
487,120,30,93,123
488,120,4,4,8
489,120,6,19,25
490,120,77,315,392
491,120,61,351,412
492,120,60,358,418
493,120,53,217,270
494,120,116,217,333
495,120,37,110,147
496,120,150,288,438
497,120,63,142,205
498,120,146,210,356
499,120,57,241,298
500,120,41,196,237
501,120,38,127,165
502,120,21,188,209
503,120,14,38,52
504,120,126,366,492
505,120,101,397,498
506,120,148,688,836
507,120,121,220,341
508,120,118,343,461
509,120,83,321,404
510,120,115,162,277
511,120,54,225,279
512,120,82,176,258
513,120,26,85,111
514,150,0,0,0
515,150,98,332,430
516,150,70,373,443
517,150,195,241,436
518,150,58,156,214
519,150,56,126,182
520,150,21,58,79
521,150,54,109,163
522,150,215,226,441
523,150,39,113,152
524,150,18,44,62
525,150,23,55,78
526,150,100,473,573
527,150,71,269,340
528,150,73,273,346
529,150,87,210,297
530,150,140,183,323
531,150,63,145,208
532,150,281,667,948
533,150,63,380,443
534,150,129,451,580
535,150,85,245,330
536,150,26,134,160
537,150,78,204,282
538,150,87,243,330
539,150,71,87,158
540,150,131,286,417
541,150,95,296,391
542,150,84,177,261
543,150,28,95,123
544,150,37,202,239
545,150,9,54,63
546,150,93,249,342
547,150,208,540,748
548,150,88,151,239
549,150,72,163,235
550,150,70,220,290
551,150,0,0,0
552,150,0,0,0
553,150,157,381,538
554,150,204,472,676
555,180,73,259,332
556,180,44,161,205
557,180,94,352,446
558,180,6,14,20
559,180,131,323,454
560,180,98,438,536
561,180,80,186,266
562,180,30,72,102
563,180,35,109,144
564,180,123,275,398
565,180,95,198,293
566,180,65,192,257
567,180,116,239,355
568,180,0,0,0
569,180,0,0,0
570,180,62,202,264
571,180,119,477,596
572,180,39,225,264
573,180,122,257,379
574,180,21,86,107
575,180,110,208,318
576,180,56,111,167
577,180,110,259,369
578,180,82,238,320
579,180,108,234,342
580,180,101,301,402
581,180,57,95,152
582,180,0,0,0
